Kalenderwoche,Anteil Alpha,Anteil Delta,Anteil Beta,Anteil Gamma
1,2.1,0,0,0
2,8.8,0,1.3,0
3,5.4,0,0.7,0
4,10.5,0,0.5,0
5,17.6,0,0.8,0
6,20.9,0.1,0.6,0.2
7,32.7,0,0.6,0.2
8,44,0,0.8,0
9,52.2,0.1,1.8,0.3
10,64.4,0,1.9,0.1
11,74.2,0,1.2,0.2
12,80,0.1,1.7,0
13,87,0,1.3,0.2
14,88.8,0.1,1.9,0.3
15,89,0.2,2,0.2
16,91.2,0.7,0.9,0.3
17,90.6,1.4,0.8,1
18,87.2,1.8,2.6,0.9
19,89.1,2.6,1.3,0.4
20,91,3.1,0.7,0.7
21,90.9,3.5,0.6,0.8
22,84.5,7.8,0.5,1
23,73.4,18.3,0.4,1.4
24,52.4,39.2,1,1.2
25,32.6,59.3,0.4,1.1
26,18.7,76.6,0.1,1.7
27,11.1,84.8,0.1,1.9
28,5.9,91.9,0,1.3
29,2.3,96.7,0,0.1
30,1.7,97.7,0,0